작성자,리뷰내용,방문일,방문횟수,인증
le****,친구들과 점심후 대화하기 좋은곳입니다,2024년 5월 2일 목요일,3번째 방문,
올리브223,조금 느끼해요 잘 모르겠어요…,2024년 5월 27일 월요일,3번째 방문,
좋은 날41,"조금 느끼 느끼합니다
잘 먹었어요",2024년 4월 9일 화요일,1번째 방문,
왕맨듕,읔..... 좋아 할 줄이야,2024년 4월 6일 토요일,8번째 방문,
Flyhigh4768,넓고 쾌적해요,2024년 6월 17일 월요일,3번째 방문,
왕맨듕,KFC개롱점이 배워야 할 자세,2024년 5월 1일 수요일,9번째 방문,
어징징,카우보이 다크초코칩쿠키 맛있네용! 하트파이도 엄마손파이 상위호환 버전같아용 ㅋㅋㅋ 맛있어여!,2024년 4월 6일 토요일,1번째 방문,
yac****,굿,2024년 11월 30일 토요일,13번째 방문,
복041,굳,2024년 6월 20일 목요일,20번째 방문,
DAANI,매장도 넓고 친절해요 :),2024년 4월 2일 화요일,3번째 방문,
Normal people,스벅 좋아요,2024년 5월 23일 목요일,7번째 방문,
다래1010,좋아요.,2024년 7월 5일 금요일,1번째 방문,
Flyhigh4768,딸기케잌맛나요,2024년 6월 5일 수요일,2번째 방문,
대니초이,커피 맛있어요,2024년 5월 6일 월요일,1번째 방문,
왕맨듕,"카패라떼
애플듀스
티라미수",2024년 3월 2일 토요일,6번째 방문,
뽀동이19,"주문 받는 남자분은 고객한테 반말을 하세요.
처음에 너무 깜짝 놀라서 다시 주의깊게 들었는데
끝까지 존대를 전혀 안 하시네요.
본인이 인지를 못 하시는건지 반말주문에
너무 놀랐습니다.",2024년 2월 24일 토요일,1번째 방문,
워터사피언스,"에코할인있냐고 물어보니 딱 그것만 알려주네.
할인이나 적립.. 둘다 있다고 자세히 설명해주면 좋겠네요
라떼는 맛있아요^^",2024년 2월 26일 월요일,34번째 방문,
민마담83,녹차얼그레이 라떼 맛있어요~~ 블루베리요거트 좋아요 ^^,2024년 2월 1일 목요일,17번째 방문,
쉼표9694,디카페인1 +1 마셨는데 디카페인은 아닌걸로ㅋ 스벅에 이런구성은 좋네요,2024년 5월 3일 금요일,1번째 방문,
kushy3772,"굳
직원이 친절해요~^^",2024년 4월 26일 금요일,1번째 방문,
쿠로44,편히 이용하다갑니다~,2024년 5월 6일 월요일,5번째 방문,
Sssage,쁘띠까눌레 겉이 바삭하지는 않아요. 기름기도 조금 있는 편이구요. 한입 간식으로 편안하게 먹을 수 있어요. 피스타치오 핑크롤… 이건 그냥 그랬어요. 이 가격에 다른 디저트 추천합니다.,2024년 4월 13일 토요일,2번째 방문,
자전거 탐사대장,메뉴얼적인 친절함 충실,2024년 1월 26일 금요일,5번째 방문,
눈꽃66,좋아요,2024년 7월 19일 금요일,1번째 방문,
Flyhigh4768,커피는 역시 스벅 아바라!!,2024년 5월 24일 금요일,1번째 방문,
searchingJMT,저 샌드위치는 그냥 그저그래오,2024년 2월 16일 금요일,6번째 방문,
jy****,좋아요,2024년 6월 17일 월요일,24번째 방문,
cha****,맛있어요.,2024년 9월 14일 토요일,5번째 방문,
왕맨듕,커피 그리고 케잌 닌텐도,2024년 2월 24일 토요일,5번째 방문,
mog****,친절하고 맛도좋고요 분위기가 좋아요,2024년 3월 1일 금요일,3번째 방문,
왕맨듕,얼굴을 차갑게 하는 바람이 부는 오전시간 일찍부터 내리던 눈은 멈추고 눈대신 공간을 채우듯 겨울 바람이 분다. 겨울 찬 바람과 조화를 이루는 공간디자인 문을 열고 들어가며 느껴지는 온기와 커피향 가득. 스타벅스로 들어갔다. 아침일찍 일어나 운동한 위를 달래보려 시그니처 초콜릿과 카라멜마끼아또 바질토바토베이글을 주문해본다,2023년 12월 16일 토요일,2번째 방문,
왕맨듕,"오늘 간 고기집보다 맛있음
오늘 간 고기집보다 가성비 좋음
오늘 간 고기집보다 기분이 좋음",2024년 1월 6일 토요일,4번째 방문,
붉은단풍,"명절 다음 날 뜨아랑 케잌 마시고 싶어 갔는데
진짜 조각케잌은 하나도 없네요.다팔리고.
ㅋㅋ .커피만 테이크아웃 하고 왔네요.",2024년 2월 11일 일요일,4번째 방문,
le****,"모임할 때 자주갑니다 ㆍ.
제휴사 할인이 맘에 들어서요",2024년 3월 31일 일요일,2번째 방문,
no1ns,커피가 맛있어요,2024년 3월 27일 수요일,3번째 방문,
yy****,일찍열고 넓어서 답답하지않아요,2024년 4월 2일 화요일,14번째 방문,
튤립03,,2024년 4월 14일 일요일,2번째 방문,
yjyw,아메리카노 맛있어요,2024년 6월 1일 토요일,20번째 방문,
토토로리,스타벅스 커피 맛....,2024년 3월 13일 수요일,4번째 방문,
코미와비비,햄 루꼴라 치아바타 빵이 맛있음. 이게 제일 낫네. 아메리카노+우유무료,2024년 2월 21일 수요일,3번째 방문,
노을진바다,,2024년 3월 27일 수요일,5번째 방문,
땅규,스벅은옳다,2024년 5월 23일 목요일,1번째 방문,
워터사피언스,배고플때 바나나 딱!!,2024년 3월 21일 목요일,35번째 방문,
코미와비비,얼그레이바닐라라떼 블론드샷추가,2024년 2월 22일 목요일,4번째 방문,
kjw803,좋아요,2024년 5월 28일 화요일,11번째 방문,
예지호맘,조아요~,2024년 5월 15일 수요일,1번째 방문,
DAANI,늘 이용하고 있어요. 매장이 넓습니다.,2024년 2월 20일 화요일,1번째 방문,
jy****,맛있어요,2024년 5월 17일 금요일,22번째 방문,
sol****,좋아요,2024년 5월 23일 목요일,10번째 방문,
자전거 탐사대장,걍 집이랑 가까워 종네,2024년 3월 1일 금요일,6번째 방문,
워터사피언스,에스프레소 쿠키 라떼 맛나네.. 조금 덜 달아도 될듯,2024년 2월 8일 목요일,32번째 방문,
cha****,맛나요.,2024년 8월 17일 토요일,4번째 방문,
그레이스88,맛있어요 좋아요 👍,2024년 4월 18일 목요일,1번째 방문,
ru****,맛있어요 좋아요 !!,2024년 4월 18일 목요일,1번째 방문,
le****,,2024년 3월 25일 월요일,1번째 방문,
승호지,ㅣ,2024년 5월 18일 토요일,1번째 방문,
할라신,굿,2024년 5월 4일 토요일,1번째 방문,
yy****,넓고 대화하기좋아요.,2024년 4월 11일 목요일,15번째 방문,
kkyyoo77,친절해서 좋아요,2024년 2월 14일 수요일,5번째 방문,
윤윤얌얌,좋아요,2024년 5월 3일 금요일,1번째 방문,
주니어레이스,직원분들 친절하시고 좋아요!,2024년 1월 15일 월요일,6번째 방문,
win****,창이넓고좋아요,2024년 2월 26일 월요일,1번째 방문,
코미와비비,"초코딸기케이크 초코케이크가 아님, 맛도 없다.",2024년 2월 3일 토요일,1번째 방문,
코미와비비,오후 별잔치. 1번 주문에 별7.,2024년 2월 19일 월요일,2번째 방문,
Normal people,좋아요,2024년 3월 5일 화요일,5번째 방문,
아임쏘해피뽕따,좋아용,2024년 3월 22일 금요일,1번째 방문,
워터사피언스,딸기라떼 맛있다,2024년 2월 16일 금요일,33번째 방문,
민마담83,대화하기 좋아요,2024년 1월 31일 수요일,16번째 방문,
붉은단풍,"지인이 깜짝방문하셔서 급히 스타벅스로 약속장소 정해서 두시간 즐겁게 수다 떨다가네요.
직원분 친절하시고 대화나누기 좋아요",2023년 11월 1일 수요일,3번째 방문,
쿠로44,쉬다갑니다!,2024년 5월 2일 목요일,4번째 방문,
NANIRAE,집 근처라 자주 들림,2024년 2월 9일 금요일,2번째 방문,
샤론의꽃32,,2024년 3월 5일 화요일,1번째 방문,
째순87,"컵받침 구매입니다.
그냥 예뻐서 굳이 사무실서 컵받침으로 사용하겠다는 생각으로...ㅋ",2023년 11월 17일 금요일,5번째 방문,
kkyyoo77,직원이 친절하고 매장이깨끗해요,2024년 1월 8일 월요일,3번째 방문,
노을진바다,친절해요,2024년 3월 26일 화요일,4번째 방문,
바다하늘바라기,ㆍ,2024년 3월 20일 수요일,1번째 방문,
sweetyjjee,굿,2024년 4월 7일 일요일,1번째 방문,
soo****,조아요,2024년 10월 30일 수요일,15번째 방문,
kkyyoo77,친절해요,2024년 3월 13일 수요일,6번째 방문,
dlghkdus,좋아요,2024년 4월 4일 목요일,1번째 방문,
Normal people,"집 가까운 곳에 스벅이 있어 좋아요ㅋ
시간대만 잘 맞추면 너무 분비지도않고 혼자 작업하고 시간보내기 좋은곳!!",2023년 10월 26일 목요일,4번째 방문,
nan****,"매장이 넓긴한데 그만큼 손님도 많아요ㅋㅋ
추워도 쿨라임피지오는 못잃어서 자주가요!",2023년 12월 16일 토요일,2번째 방문,
아이리스8243,"2월 신상 딸기케이크 먹으려고 방문했다
맛은 평범했지만 비주얼은 나쁘지 않았다",2024년 2월 4일 일요일,2번째 방문,
서치아이,,2024년 2월 18일 일요일,1번째 방문,
yy****,커피 맛있어요.좀 시끄럽지만 넓고 대화하기좋아요,2024년 3월 1일 금요일,13번째 방문,
lix****,아이스크림 맛있어요,2024년 2월 7일 수요일,1번째 방문,
kjm****,,2024년 2월 26일 월요일,2번째 방문,
young364,굿굿굿!!!,2024년 4월 18일 목요일,1번째 방문,
송파방아깨비,굿입니다~! 공부하기 좋아요 ㅎㅎ,2023년 10월 19일 목요일,6번째 방문,
4hlee,좋아요,2024년 4월 17일 수요일,1번째 방문,
우후향,좋아요,2024년 4월 16일 화요일,1번째 방문,
sol****,자몽허니블랙티 맛있어요,2023년 12월 30일 토요일,7번째 방문,
워터사피언스,바나나! 요기에는 딱이다^^,2024년 1월 8일 월요일,30번째 방문,
카라748,커피가 맛나요. .,2024년 1월 11일 목요일,5번째 방문,
워터사피언스,"딸기 라떼 맛있다~
크루는 친절하고~
좋아 좋아^^",2023년 12월 4일 월요일,27번째 방문,
jp****,좋아요,2024년 3월 2일 토요일,2번째 방문,
따뜻한바나나우유,적립도 잘되고 좋아요,2024년 6월 13일 목요일,2번째 방문,
김현주9572,귯굿 편안한 장소입니다~,2024년 1월 5일 금요일,2번째 방문,
자전거 탐사대장,내 조각케익 단골집,2023년 12월 23일 토요일,4번째 방문,
꾸울1125,직원이 매우 친절하고 맛있어요^^,2023년 11월 10일 금요일,1번째 방문,
ato****,ㅇ,2024년 2월 29일 목요일,8번째 방문,
wan****,자연스럽게 커피 마시기 좋고요. 분위기가 짱!,2023년 12월 1일 금요일,2번째 방문,
카니1,👍,2024년 2월 23일 금요일,2번째 방문,
정다니엘영진,커픠,2024년 2월 9일 금요일,1번째 방문,
말랑이889,이야기 나누기 좋아요,2024년 1월 26일 금요일,4번째 방문,
식객유여사,에스프레소크림라떼추천쓰,2023년 12월 1일 금요일,2번째 방문,
mik****,굿,2024년 2월 1일 목요일,2번째 방문,
지강71,주변에서 친구와 식사하고 커피 한 잔 하고 왔습니다,2024년 3월 21일 목요일,1번째 방문,
송파방아깨비,공부하기 좋습니다~!,2023년 10월 7일 토요일,5번째 방문,
송파방아깨비,밀크티 넘 맛나요!,2023년 11월 4일 토요일,8번째 방문,
워터사피언스,바나나 맛있다,2023년 12월 20일 수요일,28번째 방문,
searchingJMT,밤 좋아해서 밤케익시켜봤눈데 생각보다 안달았어요…그래도 맛있어요,2023년 9월 11일 월요일,2번째 방문,
덕분에1004,친절하고 동네 사랑방같이 지인모임 하기 좋은데 좀 시끄럽기도 합니다. 수험생 선물사기도 좋네요.,2023년 11월 8일 수요일,2번째 방문,
kkyyoo77,친절하고 매장깨끗해요,2023년 12월 22일 금요일,1번째 방문,
송파방아깨비,공부하기 좋습니다 ㅎㅎ,2023년 10월 26일 목요일,7번째 방문,
kkyyoo77,좋아요,2024년 1월 22일 월요일,4번째 방문,
워터사피언스,"개롱점 좋다~
조용하고, 크루 친절하고",2023년 11월 13일 월요일,25번째 방문,
왕맨듕,매주 가는 스타벅스,2023년 12월 30일 토요일,3번째 방문,
왕맨듕,"개롱역에 위치한 스타벅스
매장 안이 넓으며
편하게 이용하기 좋은 구조를 갖추고 있다.",2023년 12월 2일 토요일,1번째 방문,
dr****,편해요,2024년 7월 12일 금요일,1번째 방문,
송파방아깨비,굿입니다!,2024년 1월 12일 금요일,12번째 방문,
워터사피언스,"친절하고 좋아요.
바나나가 솔드아웃이라...ㅠㅠ",2023년 11월 17일 금요일,26번째 방문,
워터사피언스,"바나나 맛있다^^
크루 친절하구~",2023년 11월 3일 금요일,24번째 방문,
태쥬,레몬케이크 상큼하니 맛있어요,2023년 10월 6일 금요일,1번째 방문,
wjdgmlwwjd84,,2023년 12월 21일 목요일,1번째 방문,
말랑이889,가까워서조아요,2023년 12월 23일 토요일,3번째 방문,
전원40,아메리카노 젤루 맛있는 곳~,2023년 10월 12일 목요일,8번째 방문,
송파방아깨비,맛나용 ㅎㅎ,2023년 12월 10일 일요일,11번째 방문,
송파방아깨비,굿입니다!ㅎㅎ,2023년 12월 5일 화요일,10번째 방문,
송파방아깨비,고구마 케잌 맛나요~~,2023년 11월 7일 화요일,9번째 방문,
닝겐82,"리프레시?는 제취향이 아닌걸루.,",2023년 9월 5일 화요일,1번째 방문,
twi****,친절해요,2024년 4월 27일 토요일,11번째 방문,
워터사피언스,아메 좋다,2024년 1월 12일 금요일,31번째 방문,
자전거 탐사대장,요즘 스벅 쿠폰에 이벤트 당첨이 잘되서 자주 오네요,2023년 11월 16일 목요일,3번째 방문,
suj****,"매번 갈때마다 사람이 많은 편이에요~
콘센트 있는 테이블도 잇어요! 친절해요",2023년 9월 30일 토요일,2번째 방문,
yun****,굿,2024년 1월 23일 화요일,4번째 방문,
별사탕86,좋아요,2024년 1월 13일 토요일,1번째 방문,
워터사피언스,굿~~,2024년 1월 5일 금요일,29번째 방문,
ssh****,얘기나누기 좋아요 :),2023년 10월 18일 수요일,1번째 방문,
워터사피언스,출출할 때 요기에는 바나나가 쵝오^^,2023년 10월 16일 월요일,23번째 방문,
kkyyoo77,넘친절해요,2024년 1월 2일 화요일,2번째 방문,
송파방아깨비,펌킨 케이크 존맛 ㅠ,2023년 9월 1일 금요일,2번째 방문,
yy****,,2024년 2월 4일 일요일,10번째 방문,
덕분에1004,동네에 이런 대형카페가 있으니 책읽거나 모임하기 참 좋아요. 항상 직원들 친절하시고 매장도 깨끗합니다.,2023년 10월 26일 목요일,1번째 방문,
ktw****,ㅁ,2024년 1월 10일 수요일,2번째 방문,
sol****,맛있어요,2024년 1월 11일 목요일,8번째 방문,
vuc****,굿,2024년 7월 4일 목요일,20번째 방문,
쿠키1384,새로나온 유자민트차 맛있어요,2024년 1월 17일 수요일,7번째 방문,
정우예준빠,좋은시간 이었어요,2024년 6월 10일 월요일,1번째 방문,
워터사피언스,"미니 블루베리 프라프치노....
맛있네요^^",2023년 10월 6일 금요일,22번째 방문,
imy****,굿,2024년 1월 5일 금요일,5번째 방문,
아홉마리 도깨비,"자주 가는 곳입니다.
고객 부를때 목소리를 조금만 낮춰주세요.",2023년 11월 4일 토요일,1번째 방문,
우엉맘이에요1,커피가 맛있어요,2023년 11월 30일 목요일,1번째 방문,
리뷰왕나야나,넓직넓직 좋습니다 대화하기 좋네요,2023년 8월 21일 월요일,1번째 방문,
searchingJMT,토스트에 들운 계란이랑 치즈 마싯승ㅁ,2023년 8월 20일 일요일,1번째 방문,
미미도리,"초코맛이 짱
커피와 궁합이 최고",2023년 9월 20일 수요일,1번째 방문,
라잌뎃,좋어열,2024년 1월 15일 월요일,1번째 방문,
miYa,굿,2024년 5월 18일 토요일,1번째 방문,
yy****,넓어서 좋은데 좀 정신없어요. 그래도 휴일 주차가능,2023년 11월 4일 토요일,8번째 방문,
es4083,좋아요,2024년 1월 6일 토요일,2번째 방문,
tlaqk,좋아요_!,2023년 11월 15일 수요일,5번째 방문,
레전뎌,굿,2023년 12월 18일 월요일,5번째 방문,
향기5540,넓고 이야기하기 좋아요,2023년 12월 28일 목요일,2번째 방문,
mog****,친절하고 맛도좋고요 또가고 싶은곳이예요.,2023년 9월 4일 월요일,2번째 방문,
유니9110,맛있어요,2023년 11월 24일 금요일,2번째 방문,
miniya110159,"좋아요
남편이랑 데이트 장소랍니다",2023년 9월 27일 수요일,1번째 방문,
티나73,직원들이 친절해요,2023년 10월 2일 월요일,1번째 방문,
yy****,넓은데 사람 꽉찹니다. 스벅은 커피가 맛있어요,2023년 10월 6일 금요일,7번째 방문,
jy****,커피좋아요,2023년 11월 26일 일요일,15번째 방문,
달달한돼지력,"동네에서 자주 찾아가는 스벅이에요
1층매장인데 넓고 자리도 넓어요
사이즈업이나 이벤트, 결제혜택 등 깔끔하게 처리해줍니다",2023년 4월 30일 일요일,2번째 방문,
illy777,딸기 음료가 맛있네요. 매장도 쾌적하고 청결합니다.,2023년 6월 11일 일요일,1번째 방문,
민마담83,딸기 요거트 맛있어요^^,2023년 8월 3일 목요일,9번째 방문,
pjy****,굳,2024년 2월 27일 화요일,16번째 방문,
송파방아깨비,존맛~~,2023년 9월 11일 월요일,3번째 방문,
인생차고지,깊은 맛! 달지않고 진해서 좋아요,2023년 7월 19일 수요일,2번째 방문,
미자매,커피가 맛있어요,2023년 10월 21일 토요일,1번째 방문,
sorryc,조아요^^,2024년 6월 25일 화요일,4번째 방문,
퍼풀리,커피 맛 좋아요,2023년 8월 16일 수요일,1번째 방문,
won****,굿,2023년 10월 15일 일요일,6번째 방문,
애착인형만수씨,.,2023년 10월 4일 수요일,4번째 방문,
겨울연이,"커피,케익 맛나요",2024년 1월 7일 일요일,4번째 방문,
또롱맘74,주말 오전 스타벅스 커피와 샌드위치~~ 주말 맞네요,2023년 9월 2일 토요일,4번째 방문,
브브4211,티가 맛있어요,2023년 12월 4일 월요일,1번째 방문,
전원40,동네 스벅 집중 잘 돼서 책 읽으러 자주 가요~,2023년 8월 8일 화요일,7번째 방문,
Normal people,스벅 좋아요ㅋ,2023년 9월 19일 화요일,3번째 방문,
sej****,친절하시고 좋아요,2023년 9월 1일 금요일,1번째 방문,
noname60,좋아요,2023년 11월 29일 수요일,1번째 방문,
자전거 탐사대장,"저는 스벅 중 카공이 젤루 안되는 곳 다섯손가락안에 드는곳이예요, 산만해 산만해...",2023년 8월 27일 일요일,2번째 방문,
musereve,맛있음,2023년 11월 3일 금요일,7번째 방문,
우아9892,리프레셔 맛있어요,2023년 8월 27일 일요일,1번째 방문,
lgjsky,좋아오 굿귯이애여,2024년 2월 2일 금요일,1번째 방문,
민마담83,굿~~,2023년 9월 29일 금요일,14번째 방문,
nan****,딸기생크림 케익크 진짜 맛있네요:(,2023년 5월 13일 토요일,1번째 방문,
Normal people,믿고먹는 스벅,2023년 8월 19일 토요일,2번째 방문,
뚜으양,블랙핑크음료 별로...,2023년 8월 19일 토요일,1번째 방문,
김로그입니다,집근처 스벅만 가기 지겨워서 한정거장거리 걸어왔네요 어딜가든 사람이많은 스벅..,2023년 7월 15일 토요일,4번째 방문,
민마담83,딸기요거트 맛있어요,2023년 8월 17일 목요일,11번째 방문,
말랑뽀쨕,"생각보다 안달고 맛있어요
생크림 둠뿍...
굿~",2023년 9월 11일 월요일,1번째 방문,
민희은맘,비도 추적추적 내리고 남편은 아아. 나는 따뜻한 라떼 한잔,2023년 9월 26일 화요일,5번째 방문,
하늘구름빵,난 참 이게 맛있더라~아이스블론드바닐라더블샷마끼아또,2023년 5월 20일 토요일,6번째 방문,
유니9110,맛있어요.,2023년 9월 18일 월요일,1번째 방문,
양갱뇸뇸,좋아요,2023년 10월 16일 월요일,5번째 방문,
sol****,좋아요 .,2023년 10월 16일 월요일,6번째 방문,
전원40,스벅 아메는 항상 진하고 맛있게 마셔요~,2023년 7월 13일 목요일,6번째 방문,
낭루,아침시간대가 혼잡하지 않고 좋아요! 중간에 톨사이즈에서 벤티로 바꾸는 번거로움이 생겼는데 직원분들께서 친절하게 해주셨어요~ 감사합니당,2023년 5월 2일 화요일,1번째 방문,
연풍연가3,맛있고 친절해요,2023년 8월 4일 금요일,2번째 방문,
작가강대장,커피가 맛있어요,2023년 8월 3일 목요일,1번째 방문,
Anna4913,시원하고 맛있어요~^^,2023년 7월 1일 토요일,1번째 방문,
lee****,좋아요,2023년 10월 16일 월요일,3번째 방문,
여우콩 서영,"찌뿌둥한 몸에 병원에 접수 ~워낙 많은대기번호~^^
잠시 기다리기위해 편안한 쇼파에 가서 라떼를 마시며 쉼을 하였다~",2023년 8월 12일 토요일,1번째 방문,
im****,맛있어 즐겁게 드셨음. 👍👍,2023년 5월 29일 월요일,1번째 방문,
디노랩연구소,ㄲ ㅑ!!! 무료쿠폰으로 가서 먹었어용~~ 넓고 ㅋ해적해용~^^,2023년 6월 2일 금요일,1번째 방문,
늘사랑3944,장소가 쾌적하고 커피도 맛나요,2024년 2월 6일 화요일,6번째 방문,
전원40,분위기 좋고 커피 맛있고 집중 잘 돼요~,2023년 6월 28일 수요일,5번째 방문,
skybl65,good,2023년 10월 23일 월요일,1번째 방문,
bec****,"신제품 슈타bugs 용가리? 음료
상큼달콤 하네~ (약간 박카스 맛?! 비슷)",2023년 5월 17일 수요일,2번째 방문,
민마담83,굿~~ 친절^^,2023년 8월 25일 금요일,12번째 방문,
점심에진심,"레몬케이크가 맛있네요
용과는 비추천",2023년 5월 21일 일요일,2번째 방문,
sun****,굿,2023년 10월 2일 월요일,4번째 방문,
구운고로케91,매장넓고 앉을좌석 많아요. 여름음료 새로 나왔네요. 상큼~~,2023년 5월 20일 토요일,1번째 방문,
민마담83,자몽허니블랙티~~ 굿,2023년 7월 20일 목요일,8번째 방문,
lym****,좋아요,2023년 10월 16일 월요일,1번째 방문,
녹차푸푸,"오늘은 개인컵 안까먹고 챙겨갔어요
근데 자리가 없어서 와서 먹으려다가 포장해서 가는사람들도 많았어요
슈크림라떼 정말 맛있네요 ㅋㅋ살짝 달지만 맛있어요",2023년 4월 16일 일요일,1번째 방문,
워터사피언스,바나나는 맛있다,2023년 8월 14일 월요일,21번째 방문,
27394,코로나 끝나고 매장이 넓어지고 좋네요,2023년 7월 17일 월요일,1번째 방문,
민마담83,자몽허니블랙티~~ ^^,2023년 5월 25일 목요일,7번째 방문,
루비조이굥,넓고 좋음,2023년 11월 24일 금요일,1번째 방문,
bec****,"된장이 되고플때
스타bugs?",2023년 5월 12일 금요일,1번째 방문,
jy****,친절해요,2023년 9월 12일 화요일,14번째 방문,
0000005754,커피 맛있는데 실내가 복잡해요,2024년 2월 8일 목요일,1번째 방문,
식객유여사,,2023년 7월 21일 금요일,1번째 방문,
워터사피언스,"신상 키위라임블렌디드...
젤리같은것도 들어있어 씹는 맛도 나고.
맛있다~~",2023년 6월 27일 화요일,17번째 방문,
행복한 웃음82,굿,2023년 10월 2일 월요일,1번째 방문,
soo****,커피가 맛있어요,2024년 2월 10일 토요일,12번째 방문,
19****,좋았요,2023년 8월 25일 금요일,3번째 방문,
워터사피언스,"사이렌오더오편하게 주문...
더워서인지 주문이 좀 밀리기는하네",2023년 7월 7일 금요일,18번째 방문,
lmy02200,,2023년 7월 9일 일요일,2번째 방문,
shinss711,친절하네요,2023년 12월 12일 화요일,2번째 방문,
miltech,좋아요,2023년 9월 21일 목요일,1번째 방문,
wls****,굿,2023년 9월 21일 목요일,1번째 방문,
딸기4733,ㅇ,2023년 8월 14일 월요일,5번째 방문,
워터사피언스,요기에믄 바나나~,2023년 7월 17일 월요일,19번째 방문,
시유니 방,친절해요 맛낭ㅎㅎㅎ,2023년 5월 20일 토요일,1번째 방문,
Mondaythefunday,좋아요,2023년 8월 12일 토요일,1번째 방문,
서선생94,굿,2023년 9월 3일 일요일,3번째 방문,
행복만들기79,,2024년 1월 10일 수요일,12번째 방문,
olivebook,^^,2023년 12월 27일 수요일,1번째 방문,
워터사피언스,"바나나 맛있네
요기하는데 짱^^",2023년 6월 19일 월요일,16번째 방문,
올리브223,굿,2023년 9월 6일 수요일,2번째 방문,
kilstreet86,굿,2023년 8월 5일 토요일,1번째 방문,
사파이어2210,,2023년 7월 11일 화요일,1번째 방문,
염선민,커피가 맛있어요~~,2023년 7월 11일 화요일,2번째 방문,
all you need is love,"쿠폰 사용으로 벤티 두잔 2,000원에 마셨지요",2023년 4월 9일 일요일,1번째 방문,
응디응디511,,2023년 6월 8일 목요일,6번째 방문,
장성호52,,2023년 6월 8일 목요일,6번째 방문,
말구9426,회사근처라 자주가는곳이에요. 매장 넓고 좋아요😀,2023년 6월 5일 월요일,1번째 방문,
하담2,좋아요,2023년 7월 25일 화요일,1번째 방문,
blu****,오래 앉아서 편하게 커피 마실 수 있어서 좋아요,2023년 3월 4일 토요일,5번째 방문,
영림천사,,2023년 5월 27일 토요일,8번째 방문,
오늘은 리뷰합니다,따뜻해서 좋아요~,2023년 4월 28일 금요일,1번째 방문,
점심에진심,슈크림라떼굿,2023년 4월 27일 목요일,1번째 방문,
Autumnmn,분리되어 있는 특이한 구조에요. 가운데 테이블은 앉기에 좀 정신없을 수 있는데 다른 곳은 괜찮은거 같아요~,2023년 3월 2일 목요일,2번째 방문,
깬다깨,좋아요,2023년 7월 18일 화요일,1번째 방문,
쿠우0508,여름엔 아아가 최고!!,2023년 6월 19일 월요일,1번째 방문,
jy****,디저트맛있어요,2023년 6월 20일 화요일,12번째 방문,
fai****,맛있어요,2023년 8월 14일 월요일,3번째 방문,
김의곤,좋아요,2023년 8월 12일 토요일,1번째 방문,
쮸니사랑30,깨끗해요,2023년 8월 12일 토요일,1번째 방문,
Lily2631,넓어서 편해요,2023년 4월 9일 일요일,2번째 방문,
jo****,,2023년 5월 29일 월요일,1번째 방문,
별0624,맛나요,2023년 7월 6일 목요일,1번째 방문,
77별,얼그레이 바닐라티 라떼 맛있어요.,2023년 2월 13일 월요일,44번째 방문,
김성원93,굿,2024년 1월 23일 화요일,2번째 방문,
늘사랑3944,맛나요,2024년 2월 7일 수요일,7번째 방문,
낭만기사8,왜 스타벅스는 진동벨 사용을 않는지..아무리 고객과 눈을 한번 더 맞추고 소통하기 위함이라지만 점심 시간 큰 매장에서 다른 테이불과 우리 일행의 대화 소리에 알바가 부르는 소리를 못 들어 식은 커피를 마셨다. 소리에 집중해도 들릴 듯 말 듯 한 소리는 누구를 부르는지 확인하기 어렵다..ㅡㅡ,2023년 2월 2일 목요일,1번째 방문,
김미영9047,맛있는 커피네요,2023년 4월 2일 일요일,1번째 방문,
yjyw,다른지점 보다 더친절해요,2023년 4월 26일 수요일,19번째 방문,
억소녀8,공간이 넓고 이야기하기 좋아요,2023년 3월 30일 목요일,3번째 방문,
yhc****,굿,2023년 6월 27일 화요일,1번째 방문,
공You,"굿
역시 스벅 커피 맛있어요",2022년 12월 11일 일요일,7번째 방문,
하늘구름빵,맛있어요~ 커피~!!,2023년 4월 24일 월요일,5번째 방문,
응디응디511,자리 넓어서 좋아요,2023년 3월 6일 월요일,4번째 방문,
ggagga1224,스벅,2023년 7월 1일 토요일,2번째 방문,
인생차고지,매장이 넓어서 좋아요,2023년 3월 24일 금요일,1번째 방문,
77별,매장이 많이 붐비지만 직원분은 친절해요.,2023년 2월 2일 목요일,43번째 방문,
동서물류67,,2023년 5월 4일 목요일,1번째 방문,
00000070,친절합니다,2023년 7월 14일 금요일,2번째 방문,
mec****,굳,2023년 7월 14일 금요일,1번째 방문,
플라잉44,굿,2023년 7월 14일 금요일,1번째 방문,
gol****,그냥 갑니다,2023년 6월 22일 목요일,1번째 방문,
워터사피언스,디카페인 돌체라떼 굿 굿,2023년 5월 15일 월요일,15번째 방문,
jy****,샌드위치 자주먹어요,2023년 5월 9일 화요일,8번째 방문,
5Flora,공간도 넓고 집 근처라 좋아요!!,2023년 2월 8일 수요일,2번째 방문,
파란하늘4927,쿠폰으로 카스테라 구매했어요~,2023년 3월 14일 화요일,1번째 방문,
아이라라,커피 맛있어요.,2023년 7월 2일 일요일,5번째 방문,
잰잰92,늘 사람이 많아용! 그래도 편안하고 좋아요,2023년 4월 1일 토요일,4번째 방문,
비타민한스푼,매장이 넓고 직원이 친절하세요,2023년 3월 10일 금요일,1번째 방문,
dd****,조아요,2023년 5월 4일 목요일,1번째 방문,
